set;id;numero;nome;url;pagina;status;erro
swshp;swshp-SWSH111;SWSH111;Rapidash de Galar V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_111_R_PT.png;https://limitlesstcg.com/cards/pt/SP/111;ja_existia;
swshp;swshp-SWSH112;SWSH112;Cinderace;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_112_R_PT.png;https://limitlesstcg.com/cards/pt/SP/112;ja_existia;
swshp;swshp-SWSH113;SWSH113;Inteleon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_113_R_PT.png;https://limitlesstcg.com/cards/pt/SP/113;ja_existia;
swshp;swshp-SWSH114;SWSH114;Cresselia;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_114_R_PT.png;https://limitlesstcg.com/cards/pt/SP/114;ja_existia;
swshp;swshp-SWSH115;SWSH115;Passimian;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_115_R_PT.png;https://limitlesstcg.com/cards/pt/SP/115;ja_existia;
swshp;swshp-SWSH116;SWSH116;Morpeko;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_116_R_PT.png;https://limitlesstcg.com/cards/pt/SP/116;ja_existia;
swshp;swshp-SWSH117;SWSH117;Phanpy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_117_R_PT.png;https://limitlesstcg.com/cards/pt/SP/117;ja_existia;
swshp;swshp-SWSH118;SWSH118;Eevee;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_118_R_PT.png;https://limitlesstcg.com/cards/pt/SP/118;ja_existia;
swshp;swshp-SWSH119;SWSH119;Snorlax;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_119_R_PT.png;https://limitlesstcg.com/cards/pt/SP/119;ja_existia;
swshp;swshp-SWSH120;SWSH120;Marine;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_120_R_PT.png;https://limitlesstcg.com/cards/pt/SP/120;ja_existia;
swshp;swshp-SWSH121;SWSH121;Marine;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_121_R_PT.png;https://limitlesstcg.com/cards/pt/SP/121;ja_existia;
swshp;swshp-SWSH122;SWSH122;Flaaffy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_122_R_PT.png;https://limitlesstcg.com/cards/pt/SP/122;ja_existia;
swshp;swshp-SWSH123;SWSH123;Articuno de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_123_R_PT.png;https://limitlesstcg.com/cards/pt/SP/123;ja_existia;
swshp;swshp-SWSH124;SWSH124;Zapdos de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_124_R_PT.png;https://limitlesstcg.com/cards/pt/SP/124;ja_existia;
swshp;swshp-SWSH125;SWSH125;Moltres de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_125_R_PT.png;https://limitlesstcg.com/cards/pt/SP/125;ja_existia;
swshp;swshp-SWSH126;SWSH126;Slowpoke de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_126_R_PT.png;https://limitlesstcg.com/cards/pt/SP/126;ja_existia;
